,Campaign,Club,Name,Price,Rating
82,ROTW TOTSSF,Gent,Jonathan David,155000.0,94
83,Headliner,Liverpool,Mohamed Salah,380000.0,94
84,Bundesliga TOTSSF,RB Leipzig,Dayot Upamecano,559000.0,93
85,Bundesliga TOTSSF,Bayern München,Serge Gnabry,370000.0,93
86,Community TOTSSF,Inter,Diego Godín,120000.0,93
87,Community TOTSSF,FC Barcelona,Gerard Piqué Bernabeu,280000.0,93
88,Community TOTSSF,Liverpool,Joe Gomez,1500000.0,93
89,Community TOTSSF,FC Barcelona,Sergio Busquets Burgos,111000.0,93
90,Community TOTSSF,Bayern München,Thiago Alcântara,130000.0,93
91,Community TOTSSF,Real Madrid,Thibaut Courtois,140000.0,93
92,CSL TOTSSF,Shanghai SIPG,Oscar dos Santos Emboaba,80000.0,93
93,Eredevisie TOTSSF,Ajax,Nicolás Tagliafico,105000.0,93
94,FUT Birthday,Liverpool,Virgil van Dijk,897000.0,93
95,PL TOTSSF,Everton,Richarlison de Andrade,1150000.0,93
96,LaLiga TOTSSF,Valencia CF,Daniel Parejo Muñoz,120000.0,93
97,LaLiga TOTSSF,Villarreal CF,Gerard Moreno Balagueró,119000.0,93
98,LATAM TOTSSF,Tigres U.A.N.L.,André-Pierre Gignac,,93
99,Liga NOS TOTSSF,SL Benfica,Rafael A. Ferreira Silva,109000.0,93
100,Ligue 1 TOTSSF,RC Strasbourg,Kenny Lala,391000.0,93
101,Ligue 1 TOTSSF,LOSC Lille,Victor Osimhen,140000.0,93
102,Serie A TOTSSF,Lazio,Francesco Acerbi,148000.0,93
103,Serie A TOTSSF,Napoli,Kostas Manolas,210000.0,93
104,Serie A TOTSSF,Napoli,Lorenzo Insigne,309000.0,93
105,Serie A TOTSSF,Cagliari,Radja Nainggolan,625000.0,93
106,Serie A TOTSSF,Milan,Theo Hernández,345000.0,93
107,Superlig TOTSSF,Medipol Başakşehir,Edin Višća,104000.0,93
108,MLS TOTSSF,Toronto FC,Alejandro Pozuelo Melero,120000.0,93
109,TOTGS,Manchester City,Kevin De Bruyne,186000.0,93
110,Bundesliga TOTSSF,Bayern München,Alphonso Davies,550000.0,92
111,Bundesliga TOTSSF,Borussia M'gladbach,Matthias Ginter,110000.0,92
112,Community TOTSSF,Real Madrid,Carlos Henrique Venancio Casimiro,134000.0,92
113,Community TOTSSF,West Ham United,Felipe Anderson Pereira Gomes,470000.0,92
114,Community TOTSSF,Crystal Palace,Wilfried Zaha,365000.0,92
115,Copa Libertadores,Buenos Aires,Carlos Tévez,75000.0,92
116,CSL TOTSSF,Guangzhou R&F,Eran Zahavi,107000.0,92
117,Eredevisie TOTSSF,Ajax,Daley Blind,98000.0,92
118,FUT Birthday,FC Barcelona,Antoine Griezmann,720000.0,92
119,FUT Birthday,Manchester United,Paul Pogba,1250000.0,92
120,Future Stars,Borussia Dortmund,Erling Braut Håland,539000.0,92
121,Future Stars,Atlético de Madrid,João Félix Sequeira,708000.0,92
122,Future Stars,Inter,Lautaro Martínez,370000.0,92
123,LaLiga TOTSSF,Real Sociedad,Martin Ødegaard,217000.0,92
124,LATAM TOTSSF,Independiente Medellín,Andrés Ricaurte,112000.0,92
125,Liga NOS TOTSSF,SL Benfica,Adel Taarabt,95000.0,92
126,Liga NOS TOTSSF,SL Benfica,Gabriel Appelt Pires,86000.0,92
127,Ligue 1 TOTSSF,Olympique de Marseille,Steve Mandanda,105000.0,92
128,Ligue 1 TOTSSF,Montpellier HSC,Téji Savanier,95000.0,92
129,Ligue 1 TOTSSF,OGC Nice,Youcef Atal,999000.0,92
130,Serie A TOTSSF,Piemonte Calcio,Juan Cuadrado,190000.0,92
131,Superlig TOTSSF,Trabzonspor,José Sosa,89500.0,92
132,Superlig TOTSSF,Fenerbahçe,Max Kruse,99500.0,92
133,EFL TOTSSF,Fulham,Aleksandar Mitrović,95000.0,92
134,EFL TOTSSF,Leeds United,Kalvin Phillips,257000.0,92
135,MLS TOTSSF,Minnesota United FC,Ike Opara,200000.0,92
136,MLS TOTSSF,New York City FC,Maxi Moralez,119000.0,92
137,ROTW TOTSSF,Shakhtar Donetsk,Aluísio Chaves Rib. Moraes Júnior,103000.0,92
138,ROTW TOTSSF,Daegu FC,Cesar Fernando Silva Melo,320000.0,92
139,ROTW TOTSSF,Celtic,Odsonne Edouard,158000.0,92
140,Saudi TOTSSF,Al Nassr,Abderrazak Hamdallah,88500.0,92
141,Saudi TOTSSF,Al Hilal,Sebastian Giovinco,96000.0,92
142,TOTGS,Tottenham Hotspur,Harry Kane,85000.0,92
143,TOTGS,Bayern München,Robert Lewandowski,128000.0,92
144,OTW,Real Madrid,Eden Hazard,159000.0,92
145,Shapeshifter,Chelsea,N'Golo Kanté,249000.0,92
146,Bundesliga TOTSSF,Borussia Dortmund,Achraf Hakimi,310000.0,91
147,Bundesliga TOTSSF,Bayer 04 Leverkusen,Lukáš Hrádecký,95000.0,91
148,Community TOTSSF,Manchester City,Fernando Luiz Rosa,105000.0,91
149,Copa Libertadores,LDU Quito,Antonio Valencia,71000.0,91
150,CSL TOTSSF,Jiangsu Suning,Alex Teixeira dos Santos,237000.0,91
151,CSL TOTSSF,Tianjin Teda,Johnathan Aparecido Silva,165000.0,91
152,FUT Birthday,Paris Saint-Germain,Ángel Di María,340000.0,91
153,FUT Birthday,Real Madrid,Gareth Bale,800000.0,91
154,Future Stars,Real Madrid,Federico Valverde,365000.0,91
155,Future Stars,Real Madrid,Rodrygo Silva de Goes,420000.0,91
156,Future Stars,Brescia,Sandro Tonali,274000.0,91
157,PL TOTSSF,Chelsea,Mateo Kovačić,103000.0,91
158,LaLiga TOTSSF,Sevilla FC,Diego Carlos Santos Silva,790000.0,91
159,LATAM TOTSSF,Universidad Católica,Luciano Aued,83000.0,91
160,Liga NOS TOTSSF,SL Benfica,Rúben Alves Dias,89000.0,91
161,Superlig TOTSSF,Trabzonspor,Alexander Sørloth,98000.0,91
162,Superlig TOTSSF,Trabzonspor,Guilherme Costa Marques,110000.0,91
163,Winter Refresh,Inter,Christian Eriksen,65000.0,91
164,Ultimate Scream,Manchester City,Sergio Agüero,398000.0,91
165,EFL TOTSSF,West Bromwich Albion,Matheus Fellipe Costa Pereira,90500.0,91
166,MLS TOTSSF,Los Angeles FC,Diego Rossi,99000.0,91
167,MLS TOTSSF,Seattle Sounders,Nicolás Lodeiro,90000.0,91
168,ROTW TOTSSF,Al Ain FC,Kodjo Fo-Doh Laba,95000.0,91
169,TOTGS,Paris Saint-Germain,Kylian Mbappé,1040000.0,91
170,TOTGS,FC Barcelona,Marc-André ter Stegen,119000.0,91
171,TOTGS,Liverpool,Mohamed Salah,220000.0,91
172,OTW,FC Barcelona,Antoine Griezmann,120000.0,91
173,Road to the Final,Chelsea,N'Golo Kanté,700000.0,91
174,Shapeshifter,Arsenal,David Luiz Moreira Marinho,200000.0,91
175,Shapeshifter,Fiorentina,Franck Ribéry,559000.0,91
176,Shapeshifter,Real Madrid,Marcelo Vieira da Silva,365000.0,91
177,Copa Libertadores,Buenos Aires,Eduardo Salvio,70000.0,91
178,Copa Libertadores,Racing Club de Avellaneda,Lisandro López,67000.0,91
179,Headliner,Atalanta,Josip Iličić,69000.0,91
180,Headliner,Borussia Dortmund,Marco Reus,290000.0,91
181,Headliner,Arsenal,Pierre-Emerick Aubameyang,350000.0,91
182,Community TOTSSF,Borussia Dortmund,Julian Brandt,124000.0,90
